reference,ean13,upc,name,description_short,description,manufacturer_name,supplier_name,supplier_reference,quantity,price,tax_rate,ecotax,width,height,depth,weight,attr_taille,attr_couleur,attr_dimension,"feat_frame size","attr_type de papier"
t-shirtim_1_1,9698262423926,,"T-shirt imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches courtes. T-shirt en coton pima extra-fin à fibres longues. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#efefef;"">Symbole de légèreté et de délicatesse, le colibri évoque la gaieté et la curiosité.</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;""> La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,28.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,S,Blanc,,,
t-shirtim_1_2,2001511592419,,"T-shirt imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches courtes. T-shirt en coton pima extra-fin à fibres longues. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#efefef;"">Symbole de légèreté et de délicatesse, le colibri évoque la gaieté et la curiosité.</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;""> La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,28.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,S,Noir,,,
t-shirtim_1_3,6912770966917,,"T-shirt imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches courtes. T-shirt en coton pima extra-fin à fibres longues. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#efefef;"">Symbole de légèreté et de délicatesse, le colibri évoque la gaieté et la curiosité.</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;""> La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,28.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,M,Blanc,,,
t-shirtim_1_4,9559320333934,,"T-shirt imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches courtes. T-shirt en coton pima extra-fin à fibres longues. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#efefef;"">Symbole de légèreté et de délicatesse, le colibri évoque la gaieté et la curiosité.</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;""> La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,28.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,M,Noir,,,
t-shirtim_1_5,8058289045521,,"T-shirt imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches courtes. T-shirt en coton pima extra-fin à fibres longues. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#efefef;"">Symbole de légèreté et de délicatesse, le colibri évoque la gaieté et la curiosité.</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;""> La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,28.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,L,Blanc,,,
t-shirtim_1_6,1613484502410,,"T-shirt imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches courtes. T-shirt en coton pima extra-fin à fibres longues. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#efefef;"">Symbole de légèreté et de délicatesse, le colibri évoque la gaieté et la curiosité.</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;""> La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,28.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,L,Noir,,,
t-shirtim_1_7,9892555652085,,"T-shirt imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches courtes. T-shirt en coton pima extra-fin à fibres longues. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#efefef;"">Symbole de légèreté et de délicatesse, le colibri évoque la gaieté et la curiosité.</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;""> La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,28.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,XL,Blanc,,,
t-shirtim_1_8,7622325029803,,"T-shirt imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches courtes. T-shirt en coton pima extra-fin à fibres longues. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#efefef;"">Symbole de légèreté et de délicatesse, le colibri évoque la gaieté et la curiosité.</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;""> La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,28.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,XL,Noir,,,
pullimpri_2_9,7433958469362,,"Pull imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches longues. Pull 100% coton avec intérieur brossé pour plus de confort. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,1200,43.08,20,0.000000,0.000000,0.000000,0.000000,0.000000,S,,,,
pullimpri_2_10,4302817534006,,"Pull imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches longues. Pull 100% coton avec intérieur brossé pour plus de confort. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,43.08,20,0.000000,0.000000,0.000000,0.000000,0.000000,M,,,,
pullimpri_2_11,7212212538544,,"Pull imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches longues. Pull 100% coton avec intérieur brossé pour plus de confort. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,43.08,20,0.000000,0.000000,0.000000,0.000000,0.000000,L,,,,
pullimpri_2_12,4152610367306,,"Pull imprimé colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coupe classique, col rond, manches longues. Pull 100% coton avec intérieur brossé pour plus de confort. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">La collection PolyFaune de la marque Studio Design propose des pièces aux coupes basiques et aux visuels colorés inspirés des origamis japonais traditionnels. À porter avec un chino ou un jean. Le procédé d'impression par sublimation garantit la qualité et la longévité des couleurs.</span></span></p>","Studio Design",,,300,43.08,20,0.000000,0.000000,0.000000,0.000000,0.000000,XL,,,,
afficheen_3_13,7126414497500,,"Affiche encadrée The best is yet to come","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,900,34.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,40x60cm,,
afficheen_3_14,4174241662187,,"Affiche encadrée The best is yet to come","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,58.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,60x90cm,,
afficheen_3_15,7491965095039,,"Affiche encadrée The best is yet to come","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,94.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,80x120cm,,
afficheen_4_16,5937100765236,,"Affiche encadrée The adventure begins","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,900,34.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,40x60cm,,
afficheen_4_17,6209608817668,,"Affiche encadrée The adventure begins","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,58.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,60x90cm,,
afficheen_4_18,3236742069234,,"Affiche encadrée The adventure begins","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,94.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,80x120cm,,
afficheen_5_19,5554884169767,,"Affiche encadrée Today is a good day","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,34.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,40x60cm,,
afficheen_5_20,8064194917738,,"Affiche encadrée Today is a good day","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,58.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,60x90cm,,
